table_name,field_name,get,patch,post
# See security_design.md for explanation of permission levels
User,username,memberProject,,globalAdmin
User,is_active,,,
User,is_staff,,,
User,first_name,memberProject,adminBrigade,globalAdmin
User,last_name,memberProject,adminBrigade,globalAdmin
User,email_gmail,practiceLeadProject,adminBrigade,globalAdmin
User,email_preferred,practiceLeadProject,adminBrigade,globalAdmin
User,email_cognito,adminBrigade,adminBrigade,globalAdmin
User,created_at,adminProject,,,
User,user_status_id,adminBrigade,adminBrigade,globalAdmin
User,current_job_title,adminBrigade,adminBrigade,globalAdmin
User,target_job_title,adminBrigade,adminBrigade,globalAdmin
User,current_skills,adminBrigade,adminBrigade,globalAdmin
User,target_skills,adminBrigade,adminBrigade,globalAdmin
User,linkedin_account,memberProject,adminBrigade,globalAdmin
User,github_handle,memberProject,adminBrigade,globalAdmin
User,phone,practiceLeadProject,adminBrigade,globalAdmin
User,texting_ok,practiceLeadProject,adminBrigade,globalAdmin
User,slack_id,memberProject,adminBrigade,globalAdmin
User,time_zone,memberProject,adminBrigade,globalAdmin
User,last_updated,adminBrigade,,globalAdmin
User,password,,adminBrigade,globalAdmin
User,referrer,memberProject,globalAdmin,globalAdmin
UserPermission,field1,memberProject,adminProject,adminProject
